label,prec,rec
信用卡数量限制,0.50,0.57
公司优势,0.29,0.11
合作银行,0.78,0.47
审核时间,0.77,0.50
客户提意见,0.79,0.43
客服不专业,0.89,0.44
已在使用,0.00,0.00
已有贷款,1.00,0.33
征信差或无资产,0.60,0.41
提交材料,0.80,0.27
是否上征信,0.82,0.29
是否机器人,1.00,0.83
是否真实,0.75,0.32
爱国爱党,1.00,0.50
私人信息,0.75,0.21
考虑,0.67,0.29
解释信用贷款,0.83,0.71
解释厘,1.00,0.50
解释省呗,0.55,0.13
询问信息来源,0.86,0.80
询问公司名称或地址,0.90,0.17
询问分期,1.00,0.70
询问利息,0.88,0.64
询问利率,1.00,0.43
询问如何还款,0.89,0.26
询问客服名字,1.00,0.30
询问手续费,0.83,0.36
询问抵押,1.00,0.40
询问是否安全,1.00,0.29
询问联系方式,0.40,0.46
询问贷款现金,1.00,0.61
询问贷款速度,0.45,0.56
询问身份或来意,1.00,0.19
询问额度,0.83,0.28
贷款速度快,0.50,0.50
软件怎么下载,0.80,0.50
额度是否循环,0.44,0.36
