item,freq
我,337
你,307
吗,269
是,240
的,216
你们,171
什么,136
怎么,98
多少,95
这边,93
有,85
一下,83
可以,75
问,73
想,62
说,61
能,59
这个,56
公司,54
哪里,52
不,51
在,48
要,33
产品,32
额度,32
现金,32
听,31
逾期,30
的话,30
需要,30
那,30
钱,30
知道,30
还,30
贷款,29
申请,28
都,28
影响,24
会,24
吧,24
去,23
给,23
借,23
现在,23
问题,22
不是,22
这,22
您,22
审核,22
还款,20
信用卡,20
征信,19
谁,19
哦,17
那个,17
就是,17
省呗,17
多久,17
银行,16
到,16
移动,16
没有,15
注册,15
请问,15
接,15
嗯,15
下载,15
怎么办,14
用,14
好,14
哪,14
介绍,14
没,14
安全,13
信息,13
利息,13
利率,13
材料,13
如果,12
不会,12
再,12
借款,12
多,12
说话,12
啥,12
是否,12
骗子,12
看,12
幺,12
官网,12
使用,11
电话,11
这么,11
度,11
有没有,11
个,11
机器人,11
是不是,11
软件,11
好处,11
零零,11
个人,10
这里,10
时候,10
还是,10
客服,10
快,10
喂,10
号码,10
不能,9
欠款,9
对,9
东西,9
分期,9
跟,9
哪个,9
为什么,9
？,9
浦发银行,9
之前,8
你好,8
提前,8
方式,8
觉得,8
用来,8
其他,8
怎么样,8
讲话,8
得到,8
还有,8
几期,8
你家,8
宽限期,7
被,7
联系方式,7
如何,7
根本,7
不够,7
最高,7
太,7
干嘛,7
服务,7
时间,7
放款,7
骗人,7
可不可以,7
哪些,7
分,7
专业,7
就,6
要查,6
我要,6
之后,6
以后,6
过,6
不要,6
需求,6
把,6
他,6
人工,6
这样,6
厘,6
才能,6
用钱,6
抵押,6
保障,6
只能,6
再说,6
合作,6
资料,6
八六,6
查,5
上,5
真信,5
假如,5
已经,5
微信,5
请,5
金额,5
提升,5
最低,5
能够,5
省内,5
什么样,5
打,5
最,5
信用贷款,5
一个,5
从,5
算,5
做,5
对比,5
月,5
点,5
直接,5
诈骗,5
清楚,5
告诉,5
叫,5
那边,5
男朋友,5
八五,5
地址,5
真心,4
以前,4
专线,4
预期,4
名字,4
高,4
我度,4
太低,4
解,4
我能,4
人,4
也,4
记得,4
找,4
五分钟,4
信用,4
工作,4
要求,4
差,4
收费,4
手续费,4
账号,4
付款,4
听到,4
听见,4
想解,4
恩,4
能接,4
计算,4
循环,4
地方,4
来,4
流程,4
搞,4
优惠,4
成立,4
干什么,4
吃饭,4
地区,4
哪位,4
哪儿,4
考虑一下,4
考虑,4
办理,3
一些,3
支付,3
像,3
明白,3
么,3
有个,3
这是,3
短信,3
一百元,3
期间,3
金,3
低,3
我想解,3
app,3
再见,3
怎么弄,3
找到,3
呗,3
性质,3
和,3
省份,3
拿到,3
结果,3
很,3
账,3
不好,3
大,3
我们,3
服务费,3
钱能,3
高利贷,3
骗,3
又,3
卖,3
泄露,3
国家,3
讲,3
款,3
有钱,3
退款,3
手机,3
只是,3
懂,3
但是,3
嘛,3
帮,3
省,3
好听,3
就是说,3
掉,3
回答,3
借钱,3
操作,3
额外,3
便宜,3
连,3
董事长,3
经理,3
干,3
代表,3
山东,3
扣,2
额,2
向,2
参与,2
不用,2
我会,2
后续,2
银行贷款,2
等,2
联系,2
手机号,2
企业,2
起借,2
能贷,2
贷,2
看到,2
有点,2
提,2
十万,2
最少,2
那些,2
增加,2
欠,2
七,2
借金,2
一般,2
身份证,2
真人,2
话务员,2
平台,2
我该,2
该,2
设备,2
厘是,2
意思,2
咋,2
咨询,2
只,2
相信,2
优势,2
提供,2
比,2
客气,2
们,2
方便,2
每个,2
急,2
通过率,2
房子,2
记录,2
结,2
要收,2
花费,2
办,2
无,2
开通,2
真的,2
样子,2
肯定,2
感觉,2
个人信息,2
线路,2
保证,2
我怕,2
受,2
监管,2
高不高,2
还贷,2
支付宝,2
缴费,2
然后,2
它,2
结款,2
自动,2
再查,2
比较,2
哪几种,2
不到,2
听得见,2
目前,2
具体,2
道,2
没听说过,2
准备,2
退,2
接线,2
爱国,2
中国,2
共产党,2
称呼,2
姓张,2
后,2
扣费,2
恢复,2
内,2
继续,2
期限,2
来源,2
电话号码,2
提交,2
所,2
填写,2
吃,2
几年,2
做客,2
服,2
出去,2
旅游,2
家,2
家里,2
自己,2
声音,2
联通,2
中国移动,2
想想,2
看看,2
等等,2
两次,1
重新,1
未,1
哇,1
那会,1
拒国,1
密码,1
七千,1
换,1
营业厅,1
块,1
卷,1
会上,1
语音,1
曾经,1
有效,1
神,1
说会,1
这样的话,1
真新卡,1
要是,1
激活,1
告知,1
加个,1
给我发,1
发给,1
以,1
留个,1
打太低,1
调,1
两万,1
少,1
借能,1
刚刚,1
大概,1
度太低,1
更,1
最多贷,1
两万块,1
五千元,1
ap,1
实名制,1
先借,1
